cyc | ls a sh srwR ce pad rdIn | srw0 srw4 mux_s1        a5 ce5 | tree_out    acc         accf av | shft   clmp relu rv | pw pout
----+------------------------- +--------------------------------+------------------------------------+--------------------+--------
  0 |  2 0  1   1  0  1     0 |    x    x xxxxxxxxxx 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  1 |  2 0  1   0  0  1     1 |    0    0 xxxxxxxxxx 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  2 |  2 0  1   0  0  1     2 |    0    0 0000000000 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  3 |  2 0  1   0  0  0     3 |    0    0 0000000000 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  4 |  2 0  1   0  0  0     4 |    0    0 0000000000 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  5 |  2 0  1   0  0  0     5 |   -3    0 0000000000 0  0  |        x           0           0 0 |      0    0    0 0 | 0    0
  6 |  2 0  1   0  1  0     6 |   -2    0 fd00000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  7 |  2 0  1   0  1  0     7 |   -2    0 fefd000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  8 |  2 0  1   0  1  0     8 |   -1    0 fefefd0000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  9 |  2 0  1   0  1  0     9 |   -2   -3 fffefefd00 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 10 |  2 0  1   0  1  0    10 |   -1   -2 fefffefefd 0  0  |        6           0           0 0 |      0    0    0 0 | 0    0
 11 |  2 0  1   0  1  0    11 |   -2   -2 fffefffefe 0  1  |     -158           0           0 0 |      0    0    0 0 | 0    0
 12 |  2 0  1   0  1  0    12 |   -1   -1 fefffefffe 0  1  |     -191         -98         -98 1 |      0    0    0 0 | 0    0
 13 |  2 0  1   0  1  0    13 |   -1   -2 fffefffeff 0  1  |     -353        -131        -131 1 |      0    0    0 0 | 0    0
 14 |  2 0  1   0  1  0    14 |   -1   -1 fffffefffe 0  1  |     -429        -293        -293 1 |     -1    0    0 0 | 0    0
 15 |  2 0  1   0  1  0    15 |   -1   -2 fffffffeff 0  1  |     -391        -369        -369 1 |     -1   -1    0 0 | 0    0
 16 |  2 0  1   0  1  0    16 |   -1   -1 fffffffffe 0  1  |     -301        -331        -331 1 |     -2   -1   -1 1 | 0    0
 17 |  2 0  1   0  1  0    17 |   -2   -1 ffffffffff 0  1  |     -326        -241        -241 1 |     -2   -2   -1 1 | 0   -1
 18 |  2 0  1   0  1  0    18 |   -1   -1 feffffffff 0  1  |     -303        -266        -266 1 |     -2   -2   -2 1 | 0   -1
 19 |  2 0  1   0  1  0    19 |   -1   -1 fffeffffff 0  1  |     -272        -243        -243 1 |     -1   -2   -2 1 | 0   -1
