epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,0.798206,0.638165,0.434804,0.834473,0.814728,1.0e-03,3.0,1
2,0.384738,0.862051,0.335678,0.889984,0.878914,1.0e-03,2.9,1
3,0.315258,0.895028,0.288031,0.903057,0.891944,1.0e-03,3.0,1
4,0.271390,0.912638,0.273901,0.902454,0.892097,1.0e-03,2.9,1
5,0.239993,0.923213,0.239038,0.917538,0.908472,1.0e-03,3.1,1
6,0.221123,0.929256,0.244185,0.915125,0.904955,1.0e-03,3.0,0
7,0.205286,0.935212,0.213910,0.931014,0.923777,1.0e-03,3.2,1
8,0.194640,0.937802,0.205158,0.935640,0.928951,1.0e-03,2.9,1
9,0.186989,0.940392,0.219928,0.924578,0.916981,1.0e-03,3.1,0
10,0.182428,0.941773,0.200784,0.936243,0.929161,1.0e-03,3.2,1
11,0.177515,0.944492,0.188945,0.940265,0.933813,1.0e-03,3.1,1
12,0.173087,0.944881,0.204781,0.929606,0.921730,1.0e-03,3.2,0
13,0.168324,0.946651,0.192088,0.937047,0.931049,1.0e-03,3.2,0
14,0.164145,0.949499,0.180216,0.942880,0.936757,1.0e-03,3.1,1
15,0.166157,0.946953,0.195426,0.940467,0.933909,1.0e-03,3.0,0
16,0.158713,0.950881,0.182084,0.941673,0.935427,1.0e-03,3.1,0
17,0.156320,0.951183,0.186868,0.937249,0.929744,1.0e-03,3.0,0
18,0.155024,0.951571,0.191710,0.935438,0.928257,1.0e-03,3.0,0
19,0.155611,0.950622,0.170237,0.946702,0.941053,1.0e-03,3.1,1
20,0.150047,0.952996,0.171165,0.947104,0.941009,1.0e-03,3.1,0
21,0.149803,0.952478,0.171801,0.946098,0.940003,1.0e-03,2.9,0
22,0.150007,0.952823,0.168974,0.949718,0.944469,1.0e-03,2.9,1
23,0.148021,0.952478,0.168176,0.946500,0.940679,1.0e-03,2.9,1
24,0.147017,0.953341,0.164681,0.947506,0.941979,1.0e-03,3.0,1
25,0.144362,0.954852,0.169201,0.948109,0.942156,1.0e-03,2.9,0
26,0.143762,0.954247,0.166017,0.946500,0.940531,1.0e-03,2.9,0
27,0.148210,0.952737,0.162727,0.950523,0.945201,1.0e-03,2.9,1
28,0.141145,0.955197,0.163613,0.948109,0.942259,1.0e-03,3.1,0
29,0.140634,0.954808,0.161005,0.949718,0.944170,1.0e-03,3.1,1
30,0.138590,0.955024,0.168290,0.946903,0.941435,1.0e-03,2.9,0
31,0.138677,0.955326,0.156620,0.951730,0.946523,1.0e-03,3.0,1
32,0.136507,0.956405,0.162100,0.948311,0.942598,1.0e-03,2.9,0
33,0.137850,0.956751,0.161925,0.952132,0.947177,1.0e-03,3.1,0
34,0.135931,0.956535,0.165055,0.947908,0.941870,1.0e-03,3.0,0
35,0.132723,0.957441,0.155619,0.951931,0.946925,1.0e-03,3.1,1
36,0.134850,0.957398,0.164660,0.947707,0.941813,1.0e-03,3.0,0
37,0.132099,0.957355,0.157605,0.951327,0.945828,1.0e-03,2.9,0
38,0.132060,0.957743,0.159153,0.952333,0.947334,1.0e-03,3.1,0
39,0.129301,0.958089,0.166663,0.946299,0.940640,1.0e-03,2.9,0
40,0.131055,0.957657,0.156017,0.952333,0.946668,1.0e-03,3.0,0
41,0.129588,0.959038,0.156982,0.952735,0.947605,1.0e-03,3.0,0
42,0.128096,0.959384,0.154423,0.952735,0.947588,1.0e-03,3.0,1
43,0.128649,0.958866,0.154356,0.953339,0.948383,1.0e-03,3.1,1
44,0.129549,0.958089,0.156484,0.952132,0.947284,1.0e-03,3.0,0
45,0.128652,0.958175,0.158035,0.951529,0.946413,1.0e-03,3.0,0
46,0.127746,0.958305,0.163886,0.949517,0.944053,1.0e-03,2.9,0
47,0.127739,0.959254,0.150690,0.954344,0.949403,1.0e-03,3.0,1
48,0.125769,0.960420,0.153825,0.953741,0.948864,1.0e-03,3.1,0
49,0.123659,0.960592,0.158128,0.951327,0.945878,1.0e-03,3.1,0
50,0.124226,0.960592,0.151343,0.954344,0.949061,1.0e-03,3.1,0
51,0.116698,0.963311,0.148208,0.955350,0.950604,1.0e-04,3.0,1
52,0.115691,0.963614,0.148237,0.955752,0.950845,1.0e-04,3.0,0
53,0.115606,0.963398,0.148772,0.953741,0.948819,1.0e-04,2.9,0
54,0.115469,0.963743,0.148111,0.954545,0.949556,1.0e-04,3.0,1
55,0.115175,0.963700,0.148474,0.953540,0.948477,1.0e-04,2.9,0
56,0.115049,0.963614,0.148949,0.954948,0.950185,1.0e-04,3.0,0
57,0.115158,0.963570,0.150361,0.952534,0.947428,1.0e-04,3.0,0
58,0.115212,0.963570,0.148456,0.954545,0.949718,1.0e-04,2.9,0
59,0.115073,0.963657,0.149921,0.954747,0.950100,1.0e-04,3.0,0
60,0.114757,0.963916,0.148949,0.954948,0.950087,1.0e-04,2.9,0
61,0.114393,0.963570,0.149072,0.954344,0.949442,1.0e-04,3.1,0
62,0.114357,0.963829,0.148768,0.954545,0.949565,1.0e-04,2.9,0
63,0.114635,0.964218,0.148895,0.955350,0.950740,1.0e-04,3.1,0
64,0.114586,0.963743,0.149651,0.955149,0.950367,1.0e-04,3.1,0
65,0.114305,0.964347,0.149088,0.955350,0.950712,1.0e-04,2.9,0
66,0.114493,0.964045,0.149891,0.952333,0.947180,1.0e-04,3.1,0
67,0.114551,0.963657,0.149346,0.953741,0.948575,1.0e-04,3.0,0
68,0.113948,0.963657,0.149981,0.953942,0.948908,1.0e-04,3.2,0
69,0.114596,0.963700,0.148667,0.955350,0.950343,1.0e-04,3.1,0
70,0.114069,0.964088,0.149860,0.953540,0.948479,1.0e-04,3.0,0
71,0.113995,0.964088,0.148947,0.954545,0.949578,1.0e-04,3.1,0
72,0.113753,0.964606,0.149948,0.953138,0.948074,1.0e-04,2.9,0
73,0.113966,0.964347,0.149376,0.954948,0.950123,1.0e-04,3.2,0
74,0.113906,0.964045,0.148627,0.954344,0.949288,1.0e-04,3.0,0
75,0.113637,0.963916,0.149191,0.953741,0.948702,1.0e-04,3.0,0
76,0.113493,0.964477,0.149457,0.954545,0.949701,1.0e-04,3.0,0
77,0.113452,0.964520,0.148966,0.954545,0.949675,1.0e-04,2.9,0
78,0.113493,0.964261,0.149294,0.953741,0.948697,1.0e-04,3.2,0
79,0.113733,0.963873,0.148821,0.953741,0.948776,1.0e-04,3.1,0
80,0.113278,0.964779,0.149548,0.953138,0.947946,1.0e-04,3.4,0
81,0.113579,0.963614,0.148992,0.954143,0.949180,1.0e-04,3.1,0
82,0.113247,0.963743,0.150638,0.955149,0.950485,1.0e-04,2.9,0
83,0.113127,0.963700,0.148861,0.954344,0.949238,1.0e-04,3.2,0
84,0.113207,0.964650,0.149293,0.954143,0.949162,1.0e-04,2.9,0
