epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,1.181310,0.413471,0.933628,0.610329,0.529966,1.0e-03,1.4,1
2,0.637963,0.758641,0.523998,0.804695,0.766912,1.0e-03,0.5,1
3,0.449888,0.825402,0.429782,0.827230,0.795026,1.0e-03,0.5,1
4,0.393626,0.856061,0.389147,0.864789,0.847167,1.0e-03,0.5,1
5,0.349935,0.876065,0.351280,0.865728,0.847742,1.0e-03,0.5,1
6,0.330593,0.885180,0.333202,0.881690,0.868310,1.0e-03,0.5,1
7,0.311263,0.895360,0.319421,0.892958,0.884185,1.0e-03,0.5,1
8,0.296183,0.898438,0.305658,0.891080,0.879711,1.0e-03,0.5,1
9,0.283983,0.906487,0.282179,0.908920,0.899997,1.0e-03,0.4,1
10,0.270421,0.913116,0.275919,0.907042,0.898823,1.0e-03,0.5,1
11,0.261921,0.912050,0.261568,0.911737,0.903856,1.0e-03,0.5,1
12,0.249603,0.918797,0.259271,0.903286,0.894132,1.0e-03,0.5,1
13,0.238180,0.921757,0.259548,0.911737,0.904049,1.0e-03,0.4,0
14,0.236644,0.921638,0.243984,0.911737,0.903691,1.0e-03,0.4,1
15,0.222308,0.927557,0.244318,0.912676,0.904497,1.0e-03,0.4,0
16,0.216237,0.929451,0.239564,0.907981,0.898323,1.0e-03,0.4,1
17,0.230282,0.921757,0.226975,0.921127,0.913807,1.0e-03,0.4,1
18,0.206762,0.932884,0.229725,0.918310,0.911010,1.0e-03,0.4,0
19,0.204769,0.933594,0.224506,0.923005,0.916095,1.0e-03,0.4,1
20,0.200037,0.934304,0.238422,0.909859,0.900395,1.0e-03,0.4,0
21,0.198984,0.935606,0.225701,0.918310,0.911304,1.0e-03,0.5,0
22,0.196958,0.935488,0.237239,0.910798,0.900115,1.0e-03,0.4,0
23,0.194080,0.936198,0.221487,0.923944,0.916381,1.0e-03,0.4,1
24,0.188131,0.939394,0.216984,0.921127,0.913873,1.0e-03,0.4,1
25,0.187657,0.937618,0.223909,0.916432,0.907566,1.0e-03,0.4,0
26,0.185209,0.939276,0.235606,0.917371,0.909554,1.0e-03,0.4,0
27,0.182492,0.939867,0.214139,0.921127,0.913349,1.0e-03,0.4,1
28,0.177253,0.942116,0.211859,0.923005,0.915107,1.0e-03,0.4,1
29,0.178360,0.941761,0.219775,0.921127,0.913305,1.0e-03,0.5,0
30,0.175796,0.943300,0.209831,0.930516,0.924122,1.0e-03,0.4,1
