epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,0.120697,0.914120,0.072084,0.949292,0.677981,1.0e-04,17.9,1
2,0.051697,0.961954,0.044211,0.966103,0.823162,1.0e-04,18.9,1
3,0.033803,0.969333,0.032436,0.968570,0.852596,1.0e-04,19.4,1
4,0.025787,0.972154,0.027587,0.968296,0.848968,1.0e-04,19.4,0
5,0.021722,0.974267,0.025123,0.971859,0.877744,1.0e-04,18.9,1
6,0.019249,0.975763,0.022603,0.973504,0.872496,9.9e-05,20.1,0
7,0.017614,0.976859,0.021916,0.976884,0.890985,9.9e-05,19.5,1
8,0.016250,0.977956,0.021680,0.972042,0.874270,9.9e-05,21.9,0
9,0.015114,0.978687,0.021251,0.978346,0.895697,9.8e-05,23.1,1
10,0.014202,0.979269,0.020118,0.976153,0.877627,9.8e-05,28.7,0
11,0.013588,0.980606,0.019481,0.979625,0.897546,9.8e-05,24.3,1
12,0.012689,0.981074,0.019865,0.975148,0.889283,9.7e-05,24.1,0
13,0.012165,0.981600,0.018091,0.973504,0.872776,9.6e-05,21.4,0
14,0.011552,0.982159,0.019340,0.981635,0.907280,9.6e-05,20.9,1
15,0.011068,0.982742,0.018528,0.979351,0.902373,9.5e-05,19.4,0
16,0.010653,0.983450,0.016616,0.979351,0.903682,9.5e-05,19.2,0
17,0.010200,0.984044,0.017435,0.980448,0.907315,9.4e-05,19.5,1
18,0.009768,0.984032,0.016117,0.979625,0.896100,9.3e-05,19.0,0
19,0.009441,0.984341,0.015676,0.981727,0.905000,9.2e-05,19.3,0
20,0.009094,0.985060,0.016484,0.982184,0.909577,9.1e-05,23.3,1
21,0.008753,0.985460,0.015078,0.980539,0.897415,9.0e-05,24.1,0
22,0.008435,0.985780,0.015634,0.979991,0.906552,9.0e-05,22.2,0
23,0.008203,0.986168,0.016888,0.978072,0.906034,8.9e-05,23.8,0
24,0.007959,0.986522,0.015864,0.984833,0.921666,8.8e-05,24.8,1
25,0.007930,0.986340,0.014649,0.984376,0.922740,8.6e-05,20.5,1
26,0.007462,0.987139,0.014976,0.983646,0.918531,8.5e-05,19.4,0
27,0.007267,0.987379,0.014591,0.982549,0.914742,8.4e-05,18.8,0
28,0.007021,0.987699,0.014708,0.983280,0.920034,8.3e-05,19.1,0
29,0.006830,0.988178,0.014572,0.983646,0.917239,8.2e-05,19.5,0
30,0.006598,0.988270,0.014422,0.978712,0.903386,8.1e-05,21.1,0
31,0.006477,0.988510,0.014698,0.975697,0.882109,7.9e-05,21.6,0
32,0.006353,0.988704,0.015531,0.980265,0.912852,7.8e-05,27.4,0
33,0.006146,0.989001,0.015086,0.985016,0.917893,7.7e-05,25.2,0
34,0.006093,0.989081,0.013914,0.984833,0.922553,7.5e-05,25.1,0
35,0.005840,0.989161,0.014440,0.985107,0.920573,7.4e-05,28.5,0
36,0.005702,0.990223,0.014248,0.985016,0.925867,7.3e-05,23.3,1
37,0.005581,0.989709,0.014214,0.985564,0.924572,7.1e-05,21.9,0
38,0.005516,0.989880,0.014616,0.986661,0.930322,7.0e-05,23.6,1
39,0.005370,0.989892,0.013824,0.982275,0.919686,6.8e-05,21.1,0
40,0.005247,0.990006,0.014015,0.986386,0.928784,6.7e-05,26.2,0
41,0.005112,0.990600,0.014117,0.985564,0.926671,6.5e-05,15.8,0
42,0.004974,0.990874,0.013558,0.979808,0.895152,6.4e-05,13.0,0
43,0.004990,0.990543,0.013415,0.980813,0.898764,6.2e-05,12.3,0
44,0.004855,0.990463,0.013775,0.984925,0.928381,6.1e-05,12.5,0
45,0.004770,0.991148,0.013896,0.986295,0.925242,5.9e-05,12.8,0
46,0.004667,0.991148,0.013545,0.985747,0.924006,5.8e-05,12.1,0
47,0.004523,0.991548,0.014010,0.986386,0.930319,5.6e-05,11.2,0
48,0.004474,0.991399,0.014419,0.987117,0.932095,5.5e-05,11.1,1
49,0.004434,0.991457,0.013349,0.985930,0.928346,5.3e-05,10.5,0
50,0.004286,0.991856,0.013383,0.986204,0.929034,5.2e-05,10.7,0
51,0.004298,0.991548,0.014126,0.986935,0.930191,5.0e-05,10.3,0
52,0.004182,0.991856,0.013959,0.983828,0.926129,4.8e-05,9.9,0
53,0.004094,0.992325,0.014418,0.986021,0.918062,4.7e-05,9.9,0
54,0.004048,0.992267,0.013159,0.984833,0.923655,4.5e-05,9.5,0
55,0.003969,0.992256,0.013562,0.983006,0.906452,4.4e-05,9.3,0
56,0.003932,0.992462,0.014223,0.987026,0.934000,4.2e-05,9.3,1
57,0.003893,0.992256,0.013310,0.985564,0.926585,4.1e-05,9.3,0
58,0.003843,0.992245,0.013520,0.986021,0.925000,3.9e-05,11.0,0
59,0.003712,0.992599,0.014151,0.986478,0.925730,3.8e-05,11.2,0
60,0.003711,0.992690,0.013253,0.984102,0.913018,3.6e-05,11.4,0
