epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,0.030930,0.242755,0.027639,0.566667,0.287512,1.0e-04,1.9,1
2,0.022721,0.754779,0.021314,0.820196,0.340387,1.0e-04,1.8,1
3,0.017836,0.864372,0.017566,0.878039,0.375053,1.0e-04,1.8,1
4,0.014827,0.901187,0.015088,0.901373,0.396590,1.0e-04,1.8,1
5,0.012734,0.923577,0.013111,0.922353,0.423160,9.9e-05,1.7,1
6,0.011146,0.933376,0.011685,0.931176,0.437763,9.9e-05,1.8,1
7,0.009904,0.938657,0.010497,0.935882,0.460775,9.9e-05,1.8,1
8,0.008887,0.942476,0.009538,0.939804,0.473689,9.8e-05,1.7,1
9,0.008051,0.945749,0.008663,0.942353,0.497196,9.8e-05,1.8,1
10,0.007343,0.948804,0.008029,0.947843,0.618608,9.7e-05,1.8,1
11,0.006734,0.952252,0.007356,0.948431,0.638090,9.6e-05,1.8,1
12,0.006225,0.954565,0.006837,0.952941,0.670740,9.5e-05,1.8,1
13,0.005778,0.956944,0.006371,0.953922,0.686505,9.5e-05,1.8,1
14,0.005394,0.958362,0.006239,0.954510,0.696145,9.4e-05,1.8,1
15,0.005103,0.959192,0.005680,0.956275,0.714410,9.3e-05,1.8,1
16,0.004842,0.960108,0.005444,0.959412,0.732462,9.2e-05,1.9,1
17,0.004619,0.961003,0.005299,0.958627,0.732871,9.0e-05,1.8,1
18,0.004429,0.961832,0.005110,0.957843,0.733552,8.9e-05,1.9,1
19,0.004269,0.961527,0.004906,0.960980,0.751212,8.8e-05,2.0,1
20,0.004123,0.962465,0.004707,0.961373,0.758431,8.7e-05,2.1,1
21,0.003996,0.963185,0.004571,0.961569,0.760418,8.5e-05,2.0,1
22,0.003884,0.963032,0.004506,0.961765,0.763236,8.4e-05,1.9,1
23,0.003775,0.964320,0.004353,0.961961,0.768738,8.2e-05,1.9,1
24,0.003686,0.963927,0.004309,0.961569,0.767154,8.1e-05,1.9,0
25,0.003594,0.964866,0.004209,0.961373,0.773522,7.9e-05,1.9,1
26,0.003527,0.964844,0.004148,0.961569,0.778834,7.8e-05,1.9,1
27,0.003453,0.965062,0.004052,0.961961,0.780816,7.6e-05,1.9,1
28,0.003382,0.965782,0.004046,0.960784,0.775785,7.4e-05,1.9,0
29,0.003307,0.965717,0.003919,0.963922,0.791234,7.3e-05,2.0,1
30,0.003271,0.966153,0.003829,0.963333,0.789014,7.1e-05,1.9,0
31,0.003211,0.966393,0.003861,0.964706,0.793098,6.9e-05,2.0,1
32,0.003169,0.967135,0.003797,0.963725,0.790967,6.7e-05,2.0,0
33,0.003123,0.966917,0.003751,0.965098,0.793469,6.5e-05,2.0,1
34,0.003065,0.967833,0.003697,0.963725,0.791460,6.4e-05,2.4,0
35,0.003054,0.967288,0.003620,0.965294,0.799240,6.2e-05,2.0,1
36,0.003012,0.967812,0.003739,0.961765,0.786838,6.0e-05,2.0,0
37,0.002989,0.967855,0.003601,0.964706,0.802315,5.8e-05,2.0,1
38,0.002955,0.968073,0.003529,0.964902,0.790134,5.6e-05,1.9,0
39,0.002918,0.968488,0.003457,0.966863,0.805556,5.4e-05,2.1,1
40,0.002884,0.968685,0.003479,0.966863,0.807172,5.2e-05,1.9,1
41,0.002871,0.968881,0.003441,0.966275,0.808371,5.0e-05,2.0,1
42,0.002843,0.968903,0.003430,0.967059,0.810368,4.8e-05,2.1,1
43,0.002836,0.968815,0.003468,0.963137,0.787201,4.6e-05,2.0,0
44,0.002803,0.968772,0.003378,0.966863,0.807364,4.4e-05,2.1,0
45,0.002793,0.969165,0.003371,0.965882,0.803010,4.2e-05,2.0,0
46,0.002776,0.969165,0.003347,0.967255,0.807638,4.0e-05,2.0,0
47,0.002750,0.969448,0.003321,0.966667,0.811007,3.8e-05,2.1,1
48,0.002746,0.968663,0.003327,0.967059,0.815811,3.6e-05,2.0,1
49,0.002720,0.969841,0.003257,0.966275,0.803186,3.5e-05,2.1,0
50,0.002720,0.969623,0.003283,0.966667,0.809597,3.3e-05,2.1,0
51,0.002712,0.969427,0.003256,0.966275,0.807649,3.1e-05,2.0,0
52,0.002689,0.969557,0.003239,0.966471,0.803046,2.9e-05,2.1,0
53,0.002680,0.969972,0.003245,0.967451,0.816963,2.7e-05,2.0,1
54,0.002675,0.969907,0.003224,0.966863,0.808595,2.6e-05,2.0,0
55,0.002657,0.969863,0.003219,0.965490,0.794558,2.4e-05,2.0,0
56,0.002650,0.969994,0.003210,0.965294,0.794730,2.2e-05,2.1,0
57,0.002642,0.969688,0.003188,0.966275,0.805105,2.1e-05,2.2,0
58,0.002629,0.970081,0.003192,0.965686,0.799370,1.9e-05,2.0,0
59,0.002620,0.970343,0.003178,0.966275,0.800306,1.8e-05,2.1,0
60,0.002632,0.969994,0.003175,0.966667,0.805875,1.6e-05,2.0,0
61,0.002623,0.970103,0.003167,0.966471,0.801451,1.5e-05,2.0,0
62,0.002614,0.970190,0.003157,0.966078,0.800226,1.3e-05,2.1,0
63,0.002597,0.970518,0.003158,0.966078,0.800525,1.2e-05,2.1,0
64,0.002593,0.970758,0.003155,0.966863,0.807844,1.1e-05,2.1,0
65,0.002600,0.970518,0.003153,0.967059,0.810856,9.5e-06,2.0,0
