epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,0.030741,0.245919,0.027521,0.582239,0.302166,1.0e-04,11.0,1
2,0.022384,0.761784,0.021294,0.828465,0.358321,1.0e-04,12.7,1
3,0.017515,0.863281,0.017557,0.882376,0.387049,1.0e-04,11.5,1
4,0.014345,0.897281,0.015002,0.908057,0.399833,1.0e-04,11.4,1
5,0.011786,0.915350,0.013299,0.916879,0.420117,9.9e-05,11.6,1
6,0.009819,0.926327,0.012062,0.923348,0.437332,9.9e-05,11.5,1
7,0.008460,0.933026,0.011076,0.927269,0.442162,9.9e-05,11.7,1
8,0.007286,0.941428,0.010326,0.929034,0.452249,9.8e-05,11.6,1
9,0.006376,0.948717,0.009605,0.931974,0.469258,9.8e-05,11.5,1
10,0.005738,0.954085,0.009041,0.936875,0.485240,9.7e-05,11.4,1
11,0.005304,0.959061,0.008422,0.938247,0.493730,9.6e-05,11.5,1
12,0.004856,0.963578,0.008094,0.941776,0.501234,9.5e-05,11.4,1
13,0.004576,0.964582,0.007769,0.942756,0.517298,9.5e-05,11.5,1
14,0.004247,0.965979,0.007535,0.945109,0.521089,9.4e-05,11.7,1
15,0.004088,0.967004,0.007111,0.947853,0.577462,9.3e-05,12.2,1
16,0.003857,0.968314,0.006824,0.948049,0.581319,9.2e-05,11.7,1
17,0.003645,0.968641,0.006856,0.950402,0.564274,9.0e-05,11.9,0
18,0.003628,0.969601,0.006338,0.950794,0.628026,8.9e-05,11.7,1
19,0.003393,0.970430,0.006334,0.952754,0.632177,8.8e-05,11.6,1
20,0.003253,0.971412,0.006190,0.952754,0.630995,8.7e-05,11.6,0
21,0.003185,0.971107,0.006001,0.953539,0.643642,8.5e-05,11.8,1
22,0.003028,0.971674,0.005731,0.952362,0.645488,8.4e-05,11.7,1
23,0.002951,0.971456,0.005674,0.953735,0.650012,8.2e-05,11.9,1
24,0.002887,0.972700,0.005535,0.953146,0.646589,8.1e-05,11.8,0
25,0.002824,0.972591,0.005525,0.954127,0.648820,7.9e-05,11.9,0
26,0.002745,0.973747,0.005461,0.953735,0.656427,7.8e-05,11.5,1
27,0.002684,0.973507,0.005340,0.954911,0.664078,7.6e-05,12.0,1
28,0.002716,0.973267,0.005360,0.958047,0.674442,7.4e-05,11.6,1
