epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
1,0.030504,0.059729,0.026756,0.088218,0.148143,1.0e-04,11.7,1
2,0.022754,0.594667,0.021381,0.894138,0.377534,1.0e-04,11.5,1
3,0.018375,0.923774,0.018028,0.924917,0.399706,1.0e-04,11.3,1
4,0.015831,0.932830,0.016041,0.928053,0.410681,1.0e-04,11.3,1
5,0.014149,0.934248,0.014640,0.927661,0.411668,9.9e-05,11.1,1
6,0.012966,0.934576,0.013682,0.928445,0.414351,9.9e-05,11.2,1
7,0.012013,0.934794,0.012811,0.928837,0.416052,9.9e-05,11.5,1
8,0.011131,0.935732,0.011910,0.930014,0.429025,9.8e-05,11.7,1
9,0.010325,0.937500,0.011229,0.931582,0.438323,9.8e-05,11.4,1
10,0.009634,0.937806,0.010539,0.934719,0.462912,9.7e-05,11.4,1
11,0.008964,0.938504,0.009950,0.933935,0.473823,9.6e-05,11.6,1
12,0.008378,0.938788,0.009386,0.934523,0.488611,9.5e-05,11.5,1
13,0.007876,0.938918,0.008834,0.933935,0.487667,9.5e-05,11.9,0
14,0.007367,0.939159,0.008397,0.935111,0.492463,9.4e-05,11.6,1
15,0.006990,0.940708,0.008000,0.936483,0.508848,9.3e-05,11.7,1
16,0.006632,0.942825,0.007637,0.939620,0.577969,9.2e-05,11.5,1
17,0.006326,0.945269,0.007354,0.940992,0.608880,9.0e-05,11.3,1
18,0.006040,0.947320,0.007115,0.943344,0.635139,8.9e-05,12.5,1
19,0.005795,0.948630,0.006868,0.945109,0.653734,8.8e-05,11.6,1
20,0.005551,0.950572,0.006640,0.944325,0.652820,8.7e-05,11.7,0
21,0.005355,0.951379,0.006442,0.944325,0.649777,8.5e-05,11.4,0
22,0.005122,0.952230,0.006274,0.944129,0.652862,8.4e-05,11.6,0
23,0.004951,0.952950,0.006073,0.944325,0.652869,8.2e-05,11.6,0
24,0.004785,0.953496,0.005970,0.944913,0.656063,8.1e-05,11.8,1
25,0.004605,0.954827,0.005856,0.945305,0.658055,7.9e-05,11.6,1
26,0.004515,0.955220,0.005754,0.946677,0.667350,7.8e-05,11.6,1
27,0.004434,0.955896,0.005594,0.945305,0.665870,7.6e-05,11.2,0
28,0.004345,0.956420,0.005554,0.947461,0.668377,7.4e-05,11.5,1
29,0.004189,0.956813,0.005488,0.947461,0.668410,7.3e-05,12.3,1
30,0.004093,0.957577,0.005397,0.947853,0.672863,7.1e-05,12.2,1
31,0.004091,0.957861,0.005333,0.947461,0.674928,6.9e-05,11.8,1
32,0.004034,0.957424,0.005250,0.948441,0.687006,6.7e-05,11.9,1
33,0.003929,0.957970,0.005245,0.947657,0.664890,6.5e-05,11.4,0
34,0.003875,0.958537,0.005183,0.948638,0.680249,6.4e-05,11.3,0
35,0.003837,0.958493,0.005116,0.949422,0.694522,6.2e-05,11.4,1
36,0.003762,0.959104,0.005084,0.949618,0.694422,6.0e-05,11.4,0
37,0.003722,0.959017,0.005041,0.950010,0.696100,5.8e-05,11.2,1
38,0.003654,0.960545,0.005018,0.949814,0.696922,5.6e-05,11.5,1
39,0.003604,0.959955,0.005019,0.949618,0.696781,5.4e-05,11.5,0
40,0.003573,0.960785,0.004937,0.950010,0.702606,5.2e-05,11.4,1
41,0.003553,0.960632,0.004958,0.949618,0.697858,5.0e-05,11.4,0
42,0.003486,0.960697,0.004945,0.949422,0.693009,4.8e-05,11.3,0
43,0.003465,0.961221,0.004930,0.951382,0.698518,4.6e-05,11.4,0
44,0.003462,0.961134,0.004917,0.950402,0.691399,4.4e-05,11.4,0
45,0.003432,0.961461,0.004845,0.951970,0.704922,4.2e-05,13.3,1
46,0.003431,0.961723,0.004840,0.951774,0.704767,4.0e-05,13.7,0
47,0.003372,0.962465,0.004838,0.950794,0.699686,3.8e-05,11.9,0
48,0.003344,0.962531,0.004828,0.952166,0.700081,3.6e-05,11.8,0
49,0.003311,0.962618,0.004817,0.951970,0.710497,3.5e-05,11.5,1
50,0.003306,0.962378,0.004789,0.951774,0.706970,3.3e-05,11.5,0
51,0.003346,0.962596,0.004796,0.952362,0.708270,3.1e-05,11.6,0
52,0.003292,0.962836,0.004775,0.952950,0.711738,2.9e-05,11.3,1
53,0.003256,0.962596,0.004769,0.953146,0.713789,2.7e-05,11.1,1
54,0.003255,0.962967,0.004751,0.953146,0.715963,2.6e-05,12.3,1
55,0.003232,0.963818,0.004770,0.952754,0.708637,2.4e-05,12.1,0
56,0.003213,0.963294,0.004750,0.952754,0.712282,2.2e-05,11.7,0
