epoch,loss,val_bin_f1,val_5_f1,lr,time_s,is_best
1,0.786959,0.882298,0.717188,1.0e-03,17.8,1
2,0.241365,0.895646,0.836686,1.0e-03,18.8,1
3,0.157695,0.892398,0.850538,1.0e-03,18.9,1
4,0.124674,0.912080,0.829564,1.0e-03,19.2,0
5,0.107306,0.903376,0.871134,1.0e-03,19.7,1
6,0.096173,0.919628,0.880275,1.0e-03,19.9,1
7,0.087299,0.923533,0.892053,1.0e-03,20.2,1
8,0.081204,0.931373,0.902607,1.0e-03,19.9,1
9,0.072274,0.933846,0.899429,1.0e-03,20.1,0
10,0.067586,0.934686,0.907068,1.0e-03,20.0,1
11,0.063835,0.939462,0.920107,1.0e-03,19.3,1
12,0.060538,0.934958,0.916234,1.0e-03,19.9,0
13,0.057346,0.938496,0.927757,1.0e-03,19.1,1
14,0.054535,0.936558,0.921666,1.0e-03,19.1,0
15,0.052882,0.947381,0.919737,1.0e-03,19.0,0
16,0.051265,0.927663,0.914223,1.0e-03,19.2,0
17,0.049212,0.941043,0.924671,1.0e-03,19.1,0
18,0.048122,0.920892,0.872758,1.0e-03,19.1,0
19,0.046253,0.942506,0.933397,1.0e-03,19.1,1
20,0.044341,0.936409,0.918603,1.0e-03,19.1,0
21,0.044757,0.936627,0.923153,1.0e-03,19.5,0
22,0.042157,0.948268,0.920676,1.0e-03,19.0,0
23,0.041103,0.951357,0.934595,1.0e-03,19.2,1
24,0.039858,0.916589,0.916912,1.0e-03,19.4,0
25,0.038840,0.947388,0.930451,1.0e-03,19.5,0
26,0.038242,0.955269,0.942869,1.0e-03,19.4,1
27,0.037065,0.946364,0.930146,1.0e-03,19.0,0
28,0.036481,0.956350,0.937737,1.0e-03,19.3,0
29,0.036289,0.953920,0.947587,1.0e-03,18.9,1
30,0.034857,0.953644,0.939174,1.0e-03,19.2,0
31,0.035419,0.956073,0.941988,1.0e-03,19.1,0
32,0.034067,0.955699,0.949289,1.0e-03,19.0,1
33,0.033201,0.927172,0.923902,1.0e-03,19.0,0
34,0.033175,0.958512,0.928257,1.0e-03,18.9,0
35,0.033208,0.955842,0.944554,1.0e-03,18.7,0
36,0.032229,0.945702,0.937194,1.0e-03,19.0,0
37,0.031773,0.957866,0.936978,1.0e-03,19.1,0
38,0.031216,0.958551,0.940590,1.0e-03,19.0,0
39,0.031283,0.962355,0.941442,1.0e-03,18.8,0
40,0.031264,0.954567,0.952200,1.0e-03,19.2,1
41,0.029806,0.959297,0.949984,1.0e-03,19.0,0
42,0.030248,0.958822,0.956592,1.0e-03,19.1,1
43,0.029829,0.955397,0.935610,1.0e-03,19.4,0
44,0.030144,0.961417,0.948918,1.0e-03,20.7,0
45,0.028684,0.959650,0.954638,1.0e-03,19.6,0
46,0.030517,0.961855,0.950717,1.0e-03,19.0,0
47,0.028638,0.956136,0.952316,1.0e-03,18.9,0
48,0.029747,0.962115,0.940368,1.0e-03,19.1,0
49,0.028611,0.959459,0.943650,1.0e-03,19.4,0
50,0.028701,0.963328,0.954867,1.0e-03,20.0,0
51,0.025651,0.964741,0.958005,1.0e-04,25.0,1
52,0.025504,0.965052,0.955896,1.0e-04,26.9,0
53,0.024437,0.961162,0.948730,1.0e-04,26.7,0
54,0.024583,0.963296,0.953276,1.0e-04,25.8,0
55,0.024844,0.962402,0.950791,1.0e-04,25.6,0
56,0.024175,0.963978,0.957448,1.0e-04,25.6,0
57,0.024831,0.963533,0.954834,1.0e-04,25.9,0
58,0.025360,0.963154,0.952200,1.0e-04,25.5,0
59,0.024915,0.964566,0.957072,1.0e-04,25.4,0
60,0.024841,0.963189,0.953932,1.0e-04,25.6,0
61,0.024618,0.964391,0.954749,1.0e-04,25.4,0
62,0.024317,0.963568,0.953068,1.0e-04,25.5,0
63,0.024520,0.964572,0.960600,1.0e-04,25.7,1
64,0.024090,0.964048,0.957854,1.0e-04,26.9,0
65,0.024709,0.963089,0.949869,1.0e-04,26.8,0
66,0.024060,0.963773,0.955817,1.0e-04,28.6,0
67,0.024844,0.963534,0.951990,1.0e-04,26.2,0
68,0.024237,0.965118,0.957603,1.0e-04,26.2,0
69,0.024761,0.963054,0.954839,1.0e-04,23.5,0
70,0.024002,0.964459,0.959087,1.0e-04,19.9,0
71,0.023839,0.963466,0.956323,1.0e-04,21.1,0
72,0.024742,0.962543,0.956701,1.0e-04,20.9,0
73,0.024421,0.964218,0.954096,1.0e-04,20.7,0
74,0.023625,0.963533,0.957317,1.0e-04,20.0,0
75,0.024087,0.963119,0.957195,1.0e-04,20.7,0
76,0.024316,0.962482,0.956350,1.0e-04,20.4,0
77,0.024380,0.963739,0.957412,1.0e-04,20.6,0
78,0.023675,0.963874,0.950521,1.0e-04,19.6,0
