epoch,loss,val_bin_f1,val_5_f1,lr,time_s,is_best
1,0.925120,0.679009,0.312935,1.0e-03,8.9,1
2,0.304369,0.707207,0.318027,1.0e-03,9.2,1
3,0.137546,0.705007,0.299736,1.0e-03,9.4,0
4,0.089708,0.701809,0.306990,1.0e-03,9.6,0
5,0.069658,0.694958,0.263264,1.0e-03,9.7,0
6,0.057157,0.704135,0.315691,1.0e-03,9.8,0
7,0.049765,0.701498,0.283869,1.0e-03,10.1,0
8,0.043614,0.723067,0.315729,1.0e-03,10.0,0
9,0.039729,0.736613,0.311025,1.0e-03,10.4,0
10,0.035571,0.713072,0.262604,1.0e-03,10.2,0
11,0.032789,0.724055,0.288717,1.0e-03,13.0,0
12,0.030374,0.690075,0.291049,1.0e-03,14.3,0
13,0.028819,0.641489,0.262647,1.0e-03,14.5,0
14,0.026136,0.724832,0.274837,1.0e-03,15.0,0
15,0.025828,0.713845,0.277208,1.0e-03,14.5,0
16,0.022958,0.743307,0.287968,1.0e-03,14.2,0
17,0.022346,0.729373,0.283695,1.0e-03,14.8,0
