epoch,loss,val_bin_f1,val_5_f1,lr,time_s,is_best
1,1.205116,0.550501,0.183841,1.0e-04,23.2,1
2,0.948982,0.639337,0.321668,1.0e-04,24.3,1
3,0.788652,0.809896,0.419699,1.0e-04,22.0,1
4,0.645234,0.837498,0.541626,9.9e-05,19.4,1
5,0.527910,0.848158,0.635293,9.9e-05,20.0,1
6,0.439666,0.852984,0.673487,9.8e-05,21.3,1
7,0.373931,0.859158,0.708414,9.8e-05,19.8,1
8,0.323024,0.864406,0.739437,9.7e-05,19.2,1
9,0.283868,0.870937,0.760884,9.6e-05,19.1,1
10,0.253909,0.879173,0.780668,9.5e-05,19.1,1
11,0.228919,0.888293,0.793106,9.3e-05,23.8,1
12,0.208745,0.893608,0.812325,9.2e-05,25.4,1
13,0.191370,0.895649,0.822500,9.0e-05,25.3,1
14,0.178135,0.899792,0.833582,8.9e-05,25.0,1
15,0.165463,0.902877,0.839108,8.7e-05,25.0,1
16,0.155517,0.904654,0.844013,8.5e-05,25.0,1
17,0.147621,0.906142,0.846750,8.3e-05,25.0,1
18,0.139904,0.907953,0.851138,8.1e-05,25.4,1
19,0.134333,0.908283,0.854020,7.9e-05,25.1,1
20,0.129067,0.909227,0.855914,7.7e-05,24.8,1
21,0.124122,0.910402,0.858884,7.5e-05,23.1,1
22,0.119920,0.914034,0.860826,7.3e-05,18.0,1
23,0.116885,0.916006,0.863512,7.0e-05,18.5,1
24,0.111987,0.918191,0.865301,6.8e-05,18.3,1
25,0.108477,0.921108,0.868344,6.5e-05,18.3,1
26,0.106908,0.924618,0.872016,6.3e-05,18.4,1
27,0.104178,0.922611,0.873578,6.0e-05,18.5,1
28,0.101087,0.925428,0.875223,5.8e-05,18.6,1
29,0.099987,0.924303,0.875520,5.5e-05,18.5,1
30,0.098278,0.924371,0.874890,5.3e-05,19.4,0
31,0.095464,0.925971,0.876417,5.0e-05,18.8,1
32,0.094871,0.923139,0.878851,4.7e-05,21.6,1
33,0.093331,0.926153,0.879685,4.5e-05,26.2,1
34,0.092262,0.925383,0.880462,4.2e-05,25.4,1
35,0.090458,0.928537,0.882319,4.0e-05,25.0,1
36,0.090461,0.926919,0.882069,3.7e-05,24.9,0
37,0.089482,0.926439,0.881307,3.5e-05,25.9,0
38,0.088156,0.930488,0.884650,3.2e-05,26.1,1
39,0.087405,0.928232,0.881731,3.0e-05,25.0,0
40,0.086764,0.929923,0.881665,2.7e-05,24.9,0
41,0.085497,0.928482,0.884378,2.5e-05,25.4,0
42,0.085167,0.928036,0.884203,2.3e-05,25.7,0
43,0.085767,0.930175,0.884423,2.1e-05,24.9,0
44,0.084498,0.929671,0.886936,1.9e-05,24.9,1
45,0.084562,0.928797,0.886747,1.7e-05,24.9,0
46,0.083838,0.929356,0.886907,1.5e-05,24.8,0
47,0.083377,0.931184,0.885613,1.3e-05,21.4,0
48,0.083470,0.928362,0.885706,1.1e-05,23.5,0
49,0.084202,0.929298,0.886610,9.5e-06,19.7,0
50,0.082860,0.928797,0.886123,8.1e-06,19.5,0
51,0.082119,0.930427,0.885700,6.7e-06,18.8,0
52,0.082892,0.929047,0.885646,5.4e-06,19.0,0
53,0.082609,0.930175,0.886281,4.3e-06,20.0,0
54,0.081692,0.928918,0.885682,3.3e-06,19.5,0
55,0.083013,0.929169,0.885907,2.4e-06,18.4,0
56,0.081596,0.930932,0.885754,1.7e-06,19.2,0
57,0.082183,0.929923,0.887941,1.1e-06,18.8,1
58,0.082053,0.930427,0.886469,6.2e-07,19.0,0
59,0.082114,0.930427,0.885764,2.7e-07,19.5,0
60,0.081998,0.929169,0.885365,6.9e-08,19.5,0
