epoch,loss,val_f1,lr,time_s,best
1,0.110126,0.412847,1.0e-03,0.7,1
2,0.055259,0.408538,1.0e-03,0.7,0
3,0.051638,0.413421,1.0e-03,0.7,1
4,0.048699,0.413912,1.0e-03,0.7,1
5,0.046359,0.419064,9.9e-04,0.8,1
6,0.044332,0.444831,9.9e-04,0.7,1
7,0.042928,0.433847,9.9e-04,0.7,0
8,0.041702,0.430780,9.8e-04,0.7,0
9,0.040597,0.431412,9.8e-04,0.7,0
10,0.039703,0.426345,9.7e-04,0.7,0
11,0.038834,0.435518,9.6e-04,0.7,0
12,0.037882,0.450169,9.5e-04,0.7,1
13,0.037265,0.471714,9.5e-04,0.7,1
14,0.036442,0.460455,9.4e-04,0.7,0
15,0.035919,0.458810,9.3e-04,0.7,0
16,0.035206,0.475795,9.2e-04,0.7,1
17,0.034658,0.475467,9.0e-04,0.7,0
18,0.034182,0.453951,8.9e-04,0.7,0
19,0.033481,0.439963,8.8e-04,0.7,0
20,0.033108,0.493710,8.7e-04,0.8,1
21,0.032743,0.452671,8.5e-04,0.7,0
22,0.032402,0.430106,8.4e-04,0.7,0
23,0.032123,0.457154,8.2e-04,0.7,0
24,0.031887,0.443731,8.1e-04,0.7,0
25,0.031658,0.474555,7.9e-04,0.7,0
26,0.031275,0.475851,7.8e-04,0.7,0
27,0.031186,0.481709,7.6e-04,0.7,0
28,0.030920,0.476832,7.4e-04,0.7,0
29,0.030744,0.480190,7.3e-04,0.7,0
30,0.030685,0.482028,7.1e-04,0.7,0
31,0.030527,0.472408,6.9e-04,0.7,0
32,0.030314,0.466479,6.7e-04,0.7,0
33,0.030208,0.483427,6.5e-04,0.7,0
34,0.030096,0.469543,6.4e-04,0.7,0
35,0.029903,0.483378,6.2e-04,0.7,0
36,0.029895,0.457486,6.0e-04,0.7,0
37,0.029680,0.474929,5.8e-04,0.7,0
38,0.029691,0.475810,5.6e-04,0.7,0
39,0.029596,0.491700,5.4e-04,0.7,0
40,0.029435,0.467979,5.2e-04,0.7,0
