epoch,loss,val_f1,lr,time_s,best
1,0.107447,0.574942,1.0e-03,0.7,1
2,0.058518,0.617227,1.0e-03,0.7,1
3,0.054177,0.652201,1.0e-03,0.7,1
4,0.051276,0.654451,1.0e-03,0.7,1
5,0.048856,0.676313,9.9e-04,0.7,1
6,0.047001,0.692986,9.9e-04,0.7,1
7,0.045230,0.707804,9.9e-04,0.7,1
8,0.043664,0.690352,9.8e-04,0.7,0
9,0.042757,0.713950,9.8e-04,0.7,1
10,0.041533,0.717612,9.7e-04,0.8,1
11,0.040586,0.719636,9.6e-04,0.7,1
12,0.039710,0.702957,9.5e-04,0.7,0
13,0.038849,0.722198,9.5e-04,0.7,1
14,0.038169,0.714602,9.4e-04,0.7,0
15,0.037262,0.735746,9.3e-04,0.7,1
16,0.036691,0.750831,9.2e-04,0.7,1
17,0.036048,0.740767,9.0e-04,0.7,0
18,0.035527,0.759925,8.9e-04,0.7,1
19,0.034984,0.751514,8.8e-04,0.7,0
20,0.034751,0.743634,8.7e-04,0.7,0
21,0.034310,0.749896,8.5e-04,0.7,0
22,0.033956,0.755926,8.4e-04,0.7,0
23,0.033525,0.753667,8.2e-04,0.8,0
24,0.033399,0.756038,8.1e-04,0.7,0
25,0.033047,0.750675,7.9e-04,0.7,0
26,0.032893,0.756924,7.8e-04,0.7,0
27,0.032757,0.753729,7.6e-04,0.7,0
28,0.032489,0.760464,7.4e-04,0.7,1
29,0.032168,0.768694,7.3e-04,0.7,1
30,0.032083,0.749778,7.1e-04,0.7,0
31,0.031871,0.751612,6.9e-04,0.8,0
32,0.031686,0.770870,6.7e-04,0.8,1
33,0.031532,0.760914,6.5e-04,0.7,0
34,0.031345,0.760549,6.4e-04,0.7,0
35,0.031200,0.761069,6.2e-04,0.7,0
36,0.031031,0.755958,6.0e-04,0.7,0
37,0.030977,0.761153,5.8e-04,0.7,0
38,0.030875,0.751558,5.6e-04,0.8,0
39,0.030631,0.743236,5.4e-04,0.8,0
40,0.030652,0.772598,5.2e-04,0.8,1
41,0.030520,0.763086,5.0e-04,0.7,0
42,0.030435,0.769880,4.8e-04,0.8,0
43,0.030389,0.758885,4.6e-04,0.7,0
44,0.030221,0.765685,4.4e-04,0.7,0
45,0.030163,0.762550,4.2e-04,0.7,0
46,0.030098,0.759380,4.0e-04,0.7,0
47,0.029909,0.754520,3.8e-04,0.7,0
48,0.029975,0.765604,3.6e-04,0.7,0
49,0.029814,0.770740,3.5e-04,0.7,0
50,0.029767,0.759115,3.3e-04,0.8,0
51,0.029691,0.771773,3.1e-04,0.7,0
52,0.029672,0.756890,2.9e-04,0.7,0
53,0.029682,0.755298,2.7e-04,0.8,0
54,0.029658,0.760241,2.6e-04,0.7,0
55,0.029534,0.755249,2.4e-04,0.8,0
56,0.029420,0.759397,2.2e-04,0.8,0
57,0.029353,0.765313,2.1e-04,0.7,0
58,0.029441,0.763426,1.9e-04,0.7,0
59,0.029318,0.761658,1.8e-04,0.8,0
60,0.029375,0.758384,1.6e-04,0.7,0
