epoch,loss,val_f1,lr,time_s,best
1,0.107454,0.577248,1.0e-03,0.9,1
2,0.058543,0.619181,1.0e-03,1.0,1
3,0.054285,0.652652,1.0e-03,1.2,1
4,0.051364,0.661307,1.0e-03,1.2,1
5,0.048801,0.683186,9.9e-04,1.1,1
6,0.046770,0.684386,9.9e-04,1.2,1
7,0.045031,0.704700,9.9e-04,1.1,1
8,0.043474,0.692488,9.8e-04,1.1,0
9,0.042617,0.711605,9.8e-04,1.3,1
10,0.041370,0.712603,9.7e-04,1.1,1
11,0.040428,0.721961,9.6e-04,1.1,1
12,0.039515,0.709718,9.5e-04,1.1,0
13,0.038717,0.717807,9.5e-04,1.1,0
14,0.038048,0.713911,9.4e-04,1.2,0
15,0.037170,0.728457,9.3e-04,1.1,1
16,0.036648,0.746920,9.2e-04,1.1,1
17,0.036018,0.742158,9.0e-04,1.2,0
18,0.035505,0.761155,8.9e-04,1.1,1
19,0.034980,0.760545,8.8e-04,1.2,0
20,0.034740,0.741753,8.7e-04,1.2,0
21,0.034260,0.746405,8.5e-04,1.2,0
22,0.033918,0.754497,8.4e-04,1.2,0
23,0.033479,0.755442,8.2e-04,1.3,0
24,0.033332,0.764191,8.1e-04,1.1,1
25,0.033014,0.754424,7.9e-04,1.2,0
26,0.032794,0.755754,7.8e-04,1.2,0
27,0.032672,0.753673,7.6e-04,1.2,0
28,0.032423,0.761040,7.4e-04,1.2,0
29,0.032144,0.763336,7.3e-04,1.2,0
30,0.032011,0.742054,7.1e-04,1.2,0
31,0.031831,0.749045,6.9e-04,1.3,0
32,0.031621,0.772195,6.7e-04,1.1,1
33,0.031471,0.762644,6.5e-04,1.2,0
34,0.031275,0.760385,6.4e-04,1.2,0
35,0.031097,0.760376,6.2e-04,1.2,0
36,0.030956,0.753858,6.0e-04,1.2,0
37,0.030901,0.763205,5.8e-04,1.2,0
38,0.030800,0.748155,5.6e-04,1.2,0
39,0.030573,0.739432,5.4e-04,1.2,0
40,0.030593,0.763587,5.2e-04,1.2,0
41,0.030451,0.760775,5.0e-04,1.2,0
42,0.030362,0.766143,4.8e-04,1.2,0
43,0.030316,0.756163,4.6e-04,1.2,0
44,0.030173,0.773474,4.4e-04,1.1,1
45,0.030082,0.762411,4.2e-04,1.2,0
46,0.030022,0.762267,4.0e-04,1.2,0
47,0.029837,0.759546,3.8e-04,1.3,0
48,0.029924,0.767813,3.6e-04,1.4,0
49,0.029766,0.774110,3.5e-04,1.3,1
50,0.029721,0.762861,3.3e-04,1.2,0
51,0.029654,0.773799,3.1e-04,1.4,0
52,0.029609,0.766048,2.9e-04,1.3,0
53,0.029631,0.752440,2.7e-04,1.3,0
54,0.029605,0.763125,2.6e-04,1.3,0
55,0.029478,0.753702,2.4e-04,1.4,0
56,0.029367,0.763089,2.2e-04,1.3,0
57,0.029290,0.765337,2.1e-04,1.7,0
58,0.029397,0.766861,1.9e-04,1.7,0
59,0.029273,0.766509,1.8e-04,1.4,0
60,0.029342,0.762062,1.6e-04,1.3,0
61,0.029263,0.771158,1.5e-04,1.3,0
62,0.029237,0.763602,1.3e-04,1.3,0
63,0.029232,0.768289,1.2e-04,1.3,0
64,0.029157,0.777238,1.1e-04,1.3,1
65,0.029145,0.764258,9.5e-05,1.4,0
66,0.029056,0.765342,8.4e-05,1.4,0
67,0.029005,0.766509,7.4e-05,1.4,0
68,0.029113,0.764326,6.4e-05,1.3,0
69,0.029060,0.764016,5.4e-05,1.4,0
70,0.029028,0.768757,4.6e-05,1.6,0
71,0.029033,0.767472,3.8e-05,3.0,0
72,0.029076,0.765055,3.1e-05,2.0,0
73,0.029046,0.766656,2.4e-05,1.7,0
74,0.028949,0.765676,1.9e-05,1.9,0
75,0.028976,0.771525,1.4e-05,1.8,0
76,0.029027,0.765480,9.6e-06,1.6,0
77,0.028952,0.765064,6.2e-06,1.7,0
78,0.028945,0.765055,3.5e-06,1.7,0
79,0.028987,0.765480,1.5e-06,2.0,0
80,0.028976,0.765911,3.9e-07,2.0,0
