epoch,loss,val_f1,lr,time_s,best
1,1.047269,0.446658,1.0e-03,0.7,1
2,0.811911,0.463851,1.0e-03,0.7,1
3,0.702092,0.437102,1.0e-03,0.7,0
4,0.640387,0.442559,1.0e-03,0.7,0
5,0.590850,0.435461,9.9e-04,0.6,0
6,0.563628,0.439861,9.9e-04,0.7,0
7,0.534398,0.412501,9.9e-04,0.7,0
8,0.512343,0.419170,9.8e-04,0.7,0
9,0.490259,0.405971,9.8e-04,0.7,0
10,0.474522,0.400831,9.7e-04,0.7,0
11,0.461703,0.413342,9.6e-04,0.7,0
12,0.446185,0.396007,9.5e-04,0.7,0
13,0.435497,0.421073,9.5e-04,0.7,0
14,0.424780,0.418472,9.4e-04,0.7,0
15,0.416496,0.434223,9.3e-04,0.7,0
16,0.408154,0.439286,9.2e-04,0.7,0
17,0.403667,0.422298,9.0e-04,0.7,0
18,0.396182,0.405661,8.9e-04,0.7,0
19,0.391970,0.392814,8.8e-04,0.8,0
20,0.385355,0.425065,8.7e-04,0.8,0
21,0.380556,0.411868,8.5e-04,0.8,0
22,0.377549,0.405146,8.4e-04,0.7,0
